L1 SiO2,L1 -325M,L10 -325M,L2/3/4 SiO2,L2/3/4 -325M,L5/6 SiO2,L5/6 -325M,L7/8 SiO2,L7/8 -325M,L8 -325M,L9 -325M,AGIT -200M,AGIT -325M,AGIT -325M BAJO S,Torta SiO2
1.6,53.3,60.2,,,1.48,68.3,2.35,59.7,,63.5,85.8,62.9,,1.52
1.66,56.2,60.5,,,1.68,67.6,2.19,63.0,,60.5,85.7,62.5,,1.54
1.2,54.7,43.1,,,1.31,65.8,2.14,61.1,,52.9,81.3,56.6,,1.64
1.14,54.9,60.1,,,1.29,66.6,1.97,64.9,,59.5,85.9,62.9,,1.38
1.03,54.4,69.4,,,1.09,71.9,1.76,64.7,,68.2,89.2,66.1,,1.36
1.21,54.4,69.9,,,1.2,68.7,1.47,68.1,,64.9,89.0,60.7,,1.19
1.14,53.4,61.7,,,1.24,63.3,1.97,54.5,,54.5,85.4,57.1,,1.43
1.45,53.0,63.6,,,1.82,63.0,1.64,70.4,,65.9,86.2,60.8,,1.61
1.22,58.2,65.8,,,1.64,65.5,1.61,62.2,,66.6,88.5,65.0,,1.45
1.07,60.7,65.4,,,1.18,66.1,1.32,65.7,,66.5,89.6,66.5,,2.33
1.4,58.8,68.2,,,1.46,68.0,1.81,62.0,,68.6,89.5,66.6,,1.97
1.12,58.5,65.5,,,1.49,64.0,2.11,54.5,,65.4,88.0,64.5,,1.38
1.22,68.0,70.4,,,1.46,73.8,1.79,60.0,,70.8,89.6,67.5,,1.44
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,59.2,,,1.1,67.5,1.47,64.5,,60.4,88.0,62.4,,1.2
1.47,56.6,65.6,,,1.17,69.7,1.44,58.9,,67.1,85.4,63.2,,1.34
,,,1.08,,1.14,,1.49,,,,90.1,67.5,,1.15
,,,,,,,,,,,,,,
,,63.2,0.85,60.0,1.34,72.8,1.77,57.4,,61.8,86.1,62.9,,1.29
,,,,,,,,,,,,,,
,,61.5,0.88,64.6,1.7,70.8,1.7,64.4,,62.8,88.2,66.3,,1.11
,,63.0,1.04,62.7,0.98,68.6,1.0,66.0,,63.3,90.0,66.7,,1.19
,,65.1,0.61,64.0,1.2,69.1,1.1,67.7,,64.3,91.1,68.0,,1.2
,,,,,,,,,,,,,,
,,66.0,0.85,63.2,1.06,67.3,0.94,66.2,,64.7,90.0,66.8,,1.24
,,,,,,,,,,,,,,
,,65.1,0.94,63.8,1.66,69.7,1.4,68.0,,65.5,89.5,66.0,,1.22
,,,,,,,,,,,,,,
,,68.3,1.01,60.7,1.79,64.5,1.84,65.3,,68.2,87.6,64.9,,1.55
,,,,,,,,,,,,,,
,,62.4,0.93,60.2,1.63,64.1,1.39,62.2,,64.5,86.4,62.7,,1.57
,,,,,,,,,,,,,,
,,63.7,0.96,63.1,2.11,69.4,2.08,63.8,,63.9,88.1,64.9,,1.56
,,,,,,,,,,,,,,
,,62.4,0.82,55.6,1.6,66.0,1.75,60.5,,63.5,88.1,64.7,,1.34
,,63.2,0.84,59.8,1.67,69.5,2.1,59.7,,61.6,87.8,62.3,,1.38
,,63.4,0.86,58.7,1.9,65.3,2.17,60.2,,60.9,87.6,62.3,,
,,64.6,1.17,64.2,2.19,67.5,2.36,64.7,,64.3,88.5,64.9,,1.5
,,60.4,0.9,58.0,1.82,65.2,1.91,59.1,,57.8,88.0,60.1,,1.5
,,59.5,1.02,54.0,1.71,68.6,1.32,65.9,,62.1,89.2,66.3,,1.12
,,57.4,1.08,57.4,1.78,62.8,1.29,65.1,,55.3,88.4,61.8,,1.24
,,57.9,0.91,59.2,1.15,75.0,1.45,60.6,,56.6,88.6,59.8,,1.21
,,59.5,0.88,63.5,1.86,72.0,1.96,64.5,,60.0,88.7,65.6,,1.38
,,63.1,0.94,64.0,1.83,66.0,1.69,64.0,,64.3,87.6,64.5,,1.43
,,64.2,0.99,59.5,1.7,70.0,1.75,65.2,,64.5,88.0,65.0,,1.54
,,70.2,1.16,59.2,1.91,70.0,1.24,73.0,,70.4,88.2,65.5,,1.67
,,62.0,0.8,59.4,2.13,69.3,3.02,59.6,,61.4,89.3,63.7,,1.16
,,59.7,1.41,56.8,1.76,67.3,2.11,58.5,,59.6,88.2,60.0,,1.41
1.25,75.9,,0.8,60.5,2.14,65.6,1.14,70.3,,66.5,88.1,59.7,,1.1
2.11,53.6,64.4,0.79,70.5,1.92,63.2,2.23,57.7,,58.2,87.4,63.2,,1.3
1.74,61.2,60.2,1.74,63.6,0.83,67.6,1.76,65.5,,61.2,88.4,61.6,,1.31
1.67,60.8,65.6,1.01,61.4,1.84,64.2,2.14,64.4,,63.2,89.7,64.0,,1.19
1.74,61.5,64.0,1.1,63.4,2.1,73.0,1.86,62.0,,63.3,90.6,67.4,,1.38
1.14,63.3,65.0,0.9,64.7,1.75,70.0,1.03,65.2,,64.7,90.0,66.7,,1.5
1.14,62.5,65.4,0.79,66.0,1.66,69.5,1.21,66.0,,65.0,91.0,67.6,,1.47
1.69,61.0,66.3,1.1,65.7,1.64,65.1,2.0,63.4,,67.1,90.9,65.6,,1.38
1.42,62.6,63.7,0.9,66.0,1.74,64.7,1.88,64.9,,63.5,90.5,64.8,,1.46
1.71,61.7,65.8,1.43,61.0,2.42,63.2,1.74,61.7,,65.1,91.3,68.7,,1.36
,,,,,,,,,,,91.1,65.4,,
,,,,,,,,,,,90.1,67.7,,
1.31,63.8,65.4,1.28,60.1,2.15,64.6,1.6,62.5,,65.2,91.1,65.4,,1.47
,,,,,,,,,,,,,,
1.51,63.4,71.5,0.9,64.2,2.0,64.6,1.9,62.9,,66.3,90.1,67.7,,1.55
1.76,77.5,71.5,0.96,74.8,1.5,67.5,1.66,66.8,,66.5,89.4,61.0,,1.54
1.28,79.9,51.1,0.81,61.4,1.38,59.7,1.5,77.1,,52.5,84.6,58.7,,1.6
1.33,81.9,57.1,2.25,60.7,0.95,56.6,0.33,82.8,,57.2,83.6,61.3,,1.42
,,,,,,,,,,,,,,
2.61,57.4,64.6,1.06,62.0,2.31,59.2,2.3,59.6,,63.0,84.0,59.6,,1.65
,,,,,,,,,,,,,,
,,62.2,1.2,57.4,2.98,57.6,2.44,59.0,,61.0,86.0,61.2,,1.84
,,,,,,,,,,,,,,
,,66.0,1.14,62.5,2.13,64.0,2.02,64.8,,71.0,89.7,64.0,,2.04
,,,,,,,,,,,,,,
,,64.7,0.91,63.3,1.82,63.7,1.97,65.0,,68.8,89.3,64.8,,1.77
,,,,,,,,,,,,,,
,,61.4,1.12,59.7,2.86,57.5,1.97,58.7,,64.9,84.2,59.8,,1.47
,,66.6,1.06,60.8,2.64,58.1,2.08,59.4,,62.8,89.4,63.1,,1.4
,,,,,,,,,,,,,,
0.92,58.6,65.9,0.66,64.8,1.02,71.9,1.75,62.8,,64.7,91.7,66.7,,1.5
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1.8,60.0,67.9,1.02,63.1,2.46,62.8,1.57,65.6,,65.5,91.8,66.3,,1.24
0.98,61.4,61.9,1.06,60.2,1.75,57.6,1.72,60.8,,65.5,84.4,60.2,,1.49
1.31,59.5,67.3,1.01,63.8,2.25,56.6,1.71,57.7,,62.4,85.8,60.3,,1.52
1.26,53.3,63.9,1.04,61.9,1.96,62.3,1.84,61.1,,66.4,82.0,58.0,,1.66
1.62,64.5,62.0,1.02,59.5,2.09,61.9,1.55,57.9,,63.8,85.8,60.4,,1.69
1.22,62.0,65.2,1.32,63.4,2.12,63.2,1.66,62.0,,64.8,86.6,61.7,,1.38
1.13,67.7,62.0,1.18,64.5,1.26,73.0,1.61,63.0,,63.8,89.5,67.8,,1.46
1.17,60.3,64.7,1.03,65.2,1.68,62.7,1.66,60.0,61.0,65.6,87.3,64.0,,1.31
1.34,63.0,64.0,0.91,64.4,2.36,62.0,1.78,61.7,60.6,66.0,88.7,65.1,,1.39
1.39,62.4,65.1,1.02,65.1,1.79,63.2,1.78,61.8,61.0,65.4,86.7,60.1,,1.41
1.15,73.5,68.5,0.94,68.9,1.76,60.5,1.66,62.3,62.1,67.0,89.8,64.5,,1.38
1.33,62.3,71.2,1.14,66.7,1.73,64.0,1.79,62.2,67.3,71.2,91.6,68.7,,1.28
1.25,71.2,67.2,1.26,62.0,1.94,60.8,1.84,61.7,59.8,68.4,90.7,64.6,,1.58
1.6,55.9,68.4,1.5,58.6,2.23,59.0,1.88,62.0,66.1,69.5,81.9,58.2,,1.5
2.24,55.6,65.3,1.61,54.6,1.58,64.2,2.04,57.7,62.6,70.6,81.9,58.6,,1.66
1.96,58.2,72.7,1.64,59.7,1.74,63.4,1.82,74.3,65.5,74.8,90.1,71.9,,1.48
1.62,63.9,73.5,1.26,62.0,0.58,64.5,1.78,70.0,61.6,74.0,82.3,60.9,,1.26
0.95,62.2,71.5,0.89,62.8,0.92,63.7,1.35,67.7,63.3,70.5,85.5,63.0,,1.34
1.77,57.0,64.0,1.07,62.9,2.63,56.6,2.18,59.2,55.0,66.4,84.8,63.0,,1.5
1.46,54.4,63.7,1.17,62.0,1.42,61.2,2.02,61.4,62.8,65.6,86.0,63.1,,1.22
1.63,61.6,63.0,1.33,61.2,2.25,57.6,2.14,60.0,60.8,63.2,83.6,61.7,,1.54
1.16,69.4,65.6,1.14,72.4,2.12,65.4,1.66,65.0,59.0,77.9,89.7,67.5,,1.62
0.99,69.4,65.4,1.34,74.0,2.14,63.0,2.01,66.2,60.2,70.2,90.0,67.6,,2.03
1.6,61.6,65.5,1.18,73.9,1.89,57.4,1.57,62.4,62.0,68.0,88.9,66.0,,1.69
1.76,64.0,66.4,1.0,69.8,1.52,69.6,1.41,69.8,62.4,75.0,90.1,68.0,,1.52
1.49,57.3,67.7,1.23,65.5,1.3,68.7,1.34,62.2,66.6,69.9,89.0,65.0,,1.46
1.52,53.5,61.4,1.1,57.2,1.96,54.7,2.14,58.2,56.4,63.1,82.3,60.4,,1.5
