FECHA;TMH;TMS;%Cu;Au g/TM;Ag g/TM;;;
21/01/2025;34.34;33.14;1.91;0.58;6.80;;;
21/01/2025;35.66;34.41;1.91;0.58;6.80;;;
21/01/2025;37.29;35.98;5.16;0.93;11.19;;;
21/01/2025;34.10;32.91;4.30;0.53;6.19;;;
21/01/2025;32.49;31.35;4.30;0.53;6.19;;;
22/01/2025;34.10;32.91;4.30;0.53;6.19;;;
25/01/2025;31.67;30.56;5.12;0.96;12.34;;;
25/01/2025;39.27;37.90;5.12;0.96;12.34;;;
25/01/2025;31.21;30.12;5.12;0.96;12.34;;;
25/01/2025;36.45;35.17;5.12;0.96;12.34;;;
25/01/2025;29.92;28.87;5.12;0.96;12.34;;;
25/01/2025;28.69;27.69;3.30;0.89;8.56;;;
25/01/2025;35.91;34.65;3.30;0.89;8.56;;;
25/01/2025;32.60;31.46;3.30;0.89;8.56;;;
25/01/2025;37.00;35.71;3.30;0.89;8.56;;;
25/01/2025;30.77;29.69;5.12;0.96;12.34;;;
26/01/2025;35.09;33.86;3.30;0.89;8.56;;;
26/01/2025;36.64;35.36;3.30;0.89;8.56;;;
26/01/2025;34.45;33.24;3.30;0.89;8.56;;;
26/01/2025;34.54;33.33;3.30;0.89;8.56;;;
26/01/2025;35.95;34.69;2.31;0.96;27.33;;;
26/01/2025;37.86;36.53;2.31;0.96;27.33;;;
26/01/2025;35.84;34.59;2.31;0.96;27.33;;;
26/01/2025;31.61;30.50;2.31;0.96;27.33;;;
27/01/2025;27.57;26.61;2.31;0.96;27.33;;;
27/01/2025;41.89;40.42;2.31;0.96;27.33;;;
27/01/2025;27.83;26.86;2.31;0.96;27.33;;;
27/01/2025;34.83;33.61;2.31;0.96;27.33;;;
28/01/2025;37.19;35.89;3.02;0.56;11.44;;;
28/01/2025;36.38;35.11;3.02;0.56;11.44;;;
28/01/2025;36.29;35.02;3.02;0.56;11.44;;;
29/01/2025;48.73;47.02;6.55;0.38;12.18;;;
29/01/2025;40.48;39.06;6.55;0.38;12.18;;;
30/01/2025;35.65;34.40;6.55;0.38;12.18;;;
30/01/2025;28.02;27.04;6.55;0.38;12.18;;;
30/01/2025;39.11;37.74;6.55;0.38;12.18;;;
30/01/2025;38.03;36.70;6.55;0.38;12.18;;;
30/01/2025;30.60;29.53;6.55;0.38;12.18;;;
02/02/2025;36.43;35.15;2.81;0.59;13.41;;;
02/02/2025;27.83;26.86;2.81;0.59;13.41;;;
02/02/2025;35.98;34.72;2.81;0.59;13.41;;;
02/02/2025;30.81;29.73;2.81;0.59;13.41;;;
02/02/2025;29.37;28.34;7.43;0.55;10.73;;;
02/02/2025;34.34;33.14;7.43;0.55;10.73;;;
02/02/2025;38.40;37.06;7.43;0.55;10.73;;;
02/02/2025;37.27;35.97;5.08;0.70;23.35;;;
02/02/2025;30.14;29.09;5.08;0.70;23.35;;;
02/02/2025;39.67;38.28;5.08;0.70;23.35;;;
03/02/2025;29.98;28.93;5.08;0.70;23.35;;;
03/02/2025;30.31;29.25;14.45;0.52;14.47;;;
04/02/2025;36.46;35.18;1.01;0.56;5.44;;;
05/02/2025;34.21;33.01;1.01;0.56;5.44;;;
05/02/2025;36.60;35.32;1.01;0.56;5.44;;;
05/02/2025;26.78;25.84;1.01;0.56;5.44;;;
08/02/2025;32.17;31.04;2.26;0.66;2.72;;;
08/02/2025;25.58;24.68;2.26;0.66;2.72;;;
08/02/2025;33.27;32.11;2.26;0.66;2.72;;;
09/02/2025;34.88;33.66;2.26;0.66;2.72;;;
10/02/2025;25.39;24.50;3.02;1.85;6.50;;;
11/02/2025;36.47;35.19;3.02;1.85;6.50;;;
11/02/2025;29.97;28.92;3.02;1.85;6.50;;;
11/02/2025;32.75;31.60;3.02;1.85;6.50;;;
20/02/2025;39.28;37.91;14.45;0.52;14.47;;;
20/02/2025;44.55;42.99;14.45;0.52;14.47;;;
20/02/2025;37.41;36.10;14.45;0.52;14.47;;;
21/02/2025;41.25;39.81;6.56;0.48;22.98;;;
21/02/2025;39.94;38.54;6.56;0.48;22.98;;;
21/02/2025;35.16;33.93;6.56;0.48;22.98;;;
21/02/2025;36.60;35.32;6.56;0.48;22.98;;;
21/02/2025;36.39;35.12;6.56;0.48;22.98;;;
21/02/2025;27.51;26.55;6.56;0.48;22.98;;;
22/02/2025;30.25;29.19;1.48;0.34;2.56;;;
22/02/2025;37.42;36.11;1.48;0.34;2.56;;;
22/02/2025;25.71;24.81;1.48;0.34;2.56;;;
22/02/2025;36.05;34.79;1.35;0.33;5.12;;;
22/02/2025;23.71;22.88;1.48;0.34;2.56;;;
22/02/2025;34.90;33.68;1.35;0.33;5.12;;;
22/02/2025;29.41;28.38;1.35;0.33;5.12;;;
22/02/2025;37.36;36.05;1.35;0.33;5.12;;;
22/02/2025;38.79;37.43;9.00;0.64;22.23;;;
22/02/2025;31.20;30.11;9.00;0.64;22.23;;;
23/02/2025;27.48;26.52;1.35;0.33;5.12;;;
23/02/2025;37.73;36.41;9.00;0.64;22.23;;;
23/02/2025;30.04;28.99;1.17;0.44;5.99;;;
23/02/2025;28.22;27.23;1.17;0.44;5.99;;;
24/02/2025;35.60;34.35;2.80;1.93;21.85;;;
24/02/2025;27.04;26.09;2.55;1.07;4.60;;;
24/02/2025;30.53;29.46;2.80;1.93;21.85;;;
24/02/2025;24.69;23.83;2.55;1.07;4.60;;;
24/02/2025;30.44;29.37;2.55;1.07;4.60;;;
24/02/2025;34.76;33.54;2.55;1.07;4.60;;;
24/02/2025;26.48;25.55;2.55;1.07;4.60;;;
25/02/2025;34.45;33.24;2.55;1.07;4.60;;;
25/02/2025;27.75;26.78;2.55;1.07;4.60;;;
25/02/2025;28.22;27.23;0.91;0.40;7.86;;;
25/02/2025;25.10;24.22;0.91;0.40;7.86;;;
26/02/2025;25.82;24.92;1.65;0.60;6.30;;;
26/02/2025;34.77;33.55;1.65;0.60;6.30;;;
26/02/2025;37.06;35.76;1.65;0.60;6.30;;;
26/02/2025;24.90;24.03;1.65;0.60;6.30;;;
26/02/2025;33.70;32.52;0.81;0.11;3.19;;;
26/02/2025;27.75;26.78;0.81;0.11;3.19;;;
26/02/2025;25.39;24.50;0.81;0.11;3.19;;;
26/02/2025;23.98;23.14;0.81;0.11;3.19;;;
