FECHA;TIPO DE MINERAL;TMH;TMS;%Cu;Au g/TM;Ag g/TM;;;
08/01/2025;SULFUROS;36.99;35.70;0.76;0.68;13.20;;;
08/01/2025;SULFUROS;44.98;43.41;0.45;0.35;3.91;;;
08/01/2025;SULFUROS;45.40;43.81;0.45;0.35;3.91;;;
08/01/2025;SULFUROS;45.74;44.14;0.45;0.35;3.91;;;
09/01/2025;SULFUROS;39.91;38.51;0.62;0.40;14.72;;;
09/01/2025;SULFUROS;41.37;39.92;0.62;0.40;14.72;;;
09/01/2025;SULFUROS;31.76;30.65;0.62;0.40;14.72;;;
09/01/2025;SULFUROS;26.67;25.74;0.62;0.40;14.72;;;
09/01/2025;SULFUROS;37.45;36.14;0.58;0.78;14.40;;;
09/01/2025;SULFUROS;38.21;36.87;0.58;0.78;14.40;;;
10/01/2025;SULFUROS;36.05;34.79;0.58;0.78;14.40;;;
10/01/2025;SULFUROS;38.00;36.67;0.58;0.78;14.40;;;
10/01/2025;SULFUROS;34.44;33.23;0.74;0.59;22.16;;;
10/01/2025;SULFUROS;39.30;37.92;0.74;0.59;22.16;;;
10/01/2025;SULFUROS;44.79;43.22;0.74;0.59;22.16;;;
10/01/2025;SULFUROS;42.06;40.59;0.74;0.59;22.16;;;
17/01/2025;SULFUROS;29.58;28.54;0.60;0.52;8.00;;;
17/01/2025;SULFUROS;30.88;29.80;0.60;0.52;8.00;;;
17/01/2025;SULFUROS;36.70;35.42;0.60;0.52;8.00;;;
17/01/2025;SULFUROS;37.63;36.31;1.22;1.00;19.20;;;
17/01/2025;SULFUROS;37.19;35.89;1.22;1.00;19.20;;;
18/01/2025;SULFUROS;38.45;37.10;1.18;0.64;19.83;;;
18/01/2025;SULFUROS;41.18;39.74;1.18;0.64;19.83;;;
19/01/2025;SULFUROS;30.23;29.17;1.37;1.34;9.76;;;
19/01/2025;SULFUROS;34.73;33.51;1.37;1.34;9.76;;;
19/01/2025;SULFUROS;37.25;35.95;1.37;1.34;9.76;;;
19/01/2025;SULFUROS;38.94;37.58;1.62;1.55;14.36;;;
19/01/2025;SULFUROS;41.01;39.57;1.62;1.55;14.36;;;
20/01/2025;SULFUROS;35.70;34.45;1.38;2.90;12.97;;;
20/01/2025;SULFUROS;24.28;23.43;1.37;1.34;9.76;;;
20/01/2025;SULFUROS;38.47;37.12;1.38;2.90;12.97;;;
20/01/2025;SULFUROS;41.56;40.11;1.38;2.90;12.97;;;
20/01/2025;SULFUROS;41.90;40.43;1.39;3.04;12.90;;;
20/01/2025;SULFUROS;28.62;27.62;1.39;3.04;12.90;;;
20/01/2025;SULFUROS;42.07;40.60;1.39;3.04;12.90;;;
